"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Dockhead",22500775,4628.00,"209L01",533905.91,179690.47,"Not Applicable","LED","2029/2030",3,"2026/2027"
"Dockley Road",22500776,4646.00,"352L16",534201.49,179180.69,"Not Applicable","SON","2023/2024","Green","2023/2024"
"Dockley Road",22500776,4650.00,"352L20",534158,179166,"Not Applicable","LED","2029/2030",4,"2029/2030"
"Doddington Grove",22500779,4659.00,"1345L09",531750.43,178035.03,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Doddington Grove",22500779,4663.00,"1345L13",531718.92,177982.46,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Dodson Street",22500782,4674.00,"1019L02",531532.59,179460.95,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Dodson Street",22500782,88888.02,"1019L07",531467.98,179538.78,"Not Applicable","LED","2028/2029","Low Amber","2024/2025"
"Dog Kennel Hill",22500783,4678.00,"2134L01",533203.97,175726.22,"Not Applicable","LED","2024/2025","Green","2024/2025"
"Dog Kennel Hill",22500783,4689.00,"2134L07",533253.11,175657.59,"Not Applicable","LED","2024/2025","Green","2024/2025"
"Dog Kennel Hill",22500783,4691.00,"2134L09",533266.22,175633.15,"Not Applicable","LED","2024/2025","Green","2024/2025"
"Dog Kennel Hill",22500783,4698.00,"2134L16",533303.24,175543.82,"Not Applicable","LED","2024/2025","Green","2024/2025"
"Dog Kennel Hill",22500783,4700.00,"2134L18",533344.19,175526.18,"Not Applicable","LED","2024/2025","Green","2024/2025"
"Dog Kennel Hill",22500783,4707.00,"2134L25",533392.48,175437.83,"Not Applicable","LED","2024/2025","Green","2024/2025"
"Dog Kennel Hill",22500783,100001.00,"2134L29",533442.9,175419.5,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Dog Kennel Hill",22500783,100002.00,"2134L30",533452.9,175392.5,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Dolben Street",22500786,4711.01,"1455L04",531805.39,180135.42,"Not Applicable","SON","2024/2025","Limitation","2024/2025"
"Donkey Alley",22500790,1.06,"2629L06",534442.02,173983.21,"Not Applicable","SON","2026/2027","Green","2026/2027"
"Dorrit Street",22500792,88888.00,"1482L01",532304.97,179868.89,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2025/2026"
"Dovedale Road",22500793,4718.00,"2542L06",534875.08,174483.63,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Dovercourt Road",22500795,4730.00,"2309L18",533542.52,174133.49,"Not Applicable","LED","2028/2029","Low Amber","2025/2026"
"Downtown Road",22500799,4753.00,"417L02",536399.88,179772.6,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Doyce Street",22500802,4760.00,"1456L01",532215.24,179939.89,"Not Applicable","LED","2026/2027","Limitation","2024/2025"
"Draco Street",22500803,88888.00,"1362L04",532123.96,177845.76,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Druce Road",22500806,4768.00,"2586L05",533400.71,174121.66,"Not Applicable","LED","2028/2029","Green","2025/2026"
